Sl.no,College name,City,District,Type of college,Course 1,Course 2,Course 3,Course 4,Course 5,NAAC Accredited,NAAC Grade,Google Rating,Google Review,Sentiment
32,Sree Kerala Varma College,Thrissur,Thrissur,Arts & Science Colleges,B.A. History,B.Sc. Physics,B.A. English,B.Com,B.Sc. Botany,Yes,A+,4.3,"Historic institution known for literature, social sciences, and arts.",Positive
33,Payyanur College,Payyanur,Kannur,Arts & Science Colleges,B.A. Malayalam,B.Sc. Chemistry,B.Com,B.A. History,B.Sc. Zoology,Yes,A,4.1,"Emerging institution in North Kerala, especially good for undergraduate science.",Positive
34,MES Asmabi College,Kodungallur,Thrissur,Arts & Science Colleges,B.Sc. Physics,B.A. Economics,B.Com,B.Sc. Chemistry,B.A. Malayalam,Yes,A,4,Focus on inclusive education and steady academic improvement.,Positive
35,Alphonsa College,Pala,Kottayam,Arts & Science Colleges,B.Sc. Mathematics,B.A. English,B.Com,B.Sc. Zoology,B.Sc. Chemistry,Yes,A,4.2,A reputed women’s college fostering excellence in science and arts.,Positive
36,Mar Athanasius College,Kothamangalam,Ernakulam,Arts & Science Colleges,B.A. English,B.Sc. Physics,B.Com,B.Sc. Mathematics,B.Sc. Zoology,Yes,A+,4.5,Strong interdisciplinary programs and excellent campus culture.,Positive
37,Bishop Moore College,Mavelikkara,Alappuzha,Arts & Science Colleges,B.A. English,B.Sc. Chemistry,B.Com,B.A. Economics,B.Sc. Physics,Yes,A,4.3,"Focus on holistic development, highly active student organizations.",Positive
38,Nirmalagiri College,Kuthuparamba,Kannur,Arts & Science Colleges,B.A. Economics,B.Sc. Physics,B.Com,B.Sc. Mathematics,B.A. English,Yes,A,4.1,"Good academic atmosphere, especially for commerce and computer science.",Positive
39,SN College,Kollam,Kollam,Arts & Science Colleges,B.A. History,B.Sc. Physics,B.Com,B.A. Malayalam,B.Sc. Chemistry,Yes,A+,4,Well-rooted in community engagement and academic discipline.,Positive
40,Government College for Women,Thiruvananthapuram,Thiruvananthapuram,Arts & Science Colleges,B.A. English,B.Com,B.Sc. Physics,B.Sc. Botany,B.A. History,Yes,A+,4.4,One of the oldest and most respected women's colleges in Kerala.,Positive
41,"Government Medical College, Thiruvananthapuram",Thiruvananthapuram,Thiruvananthapuram,Medical Colleges,MBBS,MD,MS,Nursing,Paramedical,Yes,A++,4.9,Premier government institution with top-tier faculty and research output.,Positive
42,"Government Medical College, Kozhikode",Kozhikode,Kozhikode,Medical Colleges,MBBS,MD,MS,Nursing,B.Sc. MLT,Yes,B++,4.8,Known for its clinical training and statewide medical outreach.,Positive
43,"Government Medical College, Kottayam",Kottayam,Kottayam,Medical Colleges,MBBS,MD,MS,Nursing,Allied Health,Yes,A,4.7,"High-performing institution, especially strong in pediatrics and surgery.",Positive
44,"Government Medical College, Thrissur",Thrissur,Thrissur,Medical Colleges,MBBS,MD,MS,Nursing,DMLT,Yes,A++,4.6,Good infrastructure and consistently ranked among the top medical colleges.,Positive
45,"Government Medical College, Ernakulam",Kalamassery,Ernakulam,Medical Colleges,MBBS,MD,MS,Nursing,Paramedical,Yes,A++,4.5,"Growing reputation, with strong patient care and public health programs.",Positive
46,Amrita Institute of Medical Sciences,Kochi,Ernakulam,Medical Colleges,MBBS,MD,MS,BDS,B.Sc. Nursing,Yes,A,4.9,Private medical institute known for cutting-edge technology and global exposure.,Positive
47,MES Medical College,Perinthalmanna,Malappuram,Medical Colleges,MBBS,MD,MS,Nursing,Paramedical,Yes,A,4.2,Strong clinical training and community-based healthcare initiatives.,Positive
48,Jubilee Mission Medical College,Thrissur,Thrissur,Medical Colleges,MBBS,MD,MS,B.Sc. Nursing,BPT,Yes,A+,4.4,Excellent infrastructure and a legacy of committed service.,Positive
49,Sree Gokulam Medical College,Venjaramoodu,Thiruvananthapuram,Medical Colleges,MBBS,MD,MS,Nursing,Paramedical,Yes,A++,4.3,"Well-equipped, steadily improving in national rankings.",Positive
50,Pushpagiri Medical College,Thiruvalla,Pathanamthitta,Medical Colleges,MBBS,MD,MS,BDS,Nursing,Yes,A,4.2,Good reputation in central Kerala for postgraduate studies and research.,Positive
51,Believers Church Medical College,Thiruvalla,Pathanamthitta,Medical Colleges,MBBS,MD,MS,Nursing,Paramedical,Yes,B+,4.1,"Newer college, known for ethical care and quality teaching.",Negative
52,KMCT Medical College,Mukkam,Kozhikode,Medical Colleges,MBBS,MD,MS,BPT,Nursing,Yes,A,4,"Located in Kozhikode, steadily improving and known for its rural outreach.",Positive
53,Malabar Medical College,Modakkallur,Kozhikode,Medical Colleges,MBBS,MD,MS,Nursing,Allied Health,Yes,A,4,Focused on student support and expanding its specialties.,Positive
54,Dr. Somervell Memorial CSI Medical College,Karakonam,Thiruvananthapuram,Medical Colleges,MBBS,MD,MS,Nursing,B.Sc. MLT,Yes,A,4.1,Strong emphasis on service and Christian missionary values.,Positive
55,Sree Narayana Institute of Medical Sciences,Chalakka,Ernakulam,Medical Colleges,MBBS,MD,MS,Nursing,Paramedical,Yes,A,4.1,Good infrastructure and values-based education.,Positive
56,"Government Law College, Thiruvananthapuram",Thiruvananthapuram,Thiruvananthapuram,Law Colleges,LLB,LLM,BBA LLB,BA LLB,Diploma in Cyber Law,Yes,A,4.7,"Kerala’s top law college, known for its alumni in judiciary and politics.",Positive
57,"Government Law College, Ernakulam",Ernakulam,Ernakulam,Law Colleges,LLB,LLM,BBA LLB,BA LLB,PG Diploma in Business Law,Yes,A+,4.6,Excellent moot court training and academic strength.,Positive
58,"Government Law College, Kozhikode",Kozhikode,Kozhikode,Law Colleges,LLB,LLM,BA LLB,BBA LLB,Diploma in Tax Law,Yes,A,4.4,Focused faculty and active legal aid cells make it stand out.,Positive
59,"Government Law College, Thrissur",Thrissur,Thrissur,Law Colleges,LLB,LLM,BA LLB,BBA LLB,Cyber Law,Yes,A,4.3,"Strong theoretical foundation, with good local internships.",Positive
60,Kerala Law Academy Law College,Thiruvananthapuram,Thiruvananthapuram,Law Colleges,LLB,LLM,BA LLB,BBA LLB,Certificate in Law,Yes,A+,4.2,"Popular private option, active in debates and legal research.",Positive
61,Al-Ameen Law College,Shornur,Palakkad,Law Colleges,LLB,BA LLB,BBA LLB,Diploma in Law,Human Rights Law,Yes,A+,4,Known for accessibility and regional legal practice.,Positive
62,SNDP Law College,Ernakulam,Ernakulam,Law Colleges,LLB,BA LLB,Diploma in Law,Cyber Law,Constitutional Law,Yes,A+,3.9,Offers a community-driven legal education; infrastructure could improve.,Negative
63,Markaz Law College,Kozhikode,Kozhikode,Law Colleges,LLB,BA LLB,Diploma in Law,BBA LLB,Constitutional Law,Yes,A,4.1,"Popular in Malabar, strong on moral and civil law.",Positive
64,KMCT Law College,Malappuram,Malappuram,Law Colleges,LLB,BA LLB,BBA LLB,LLM,Diploma in Cyber Law,Yes,A,4,A decent choice with focus on case law studies.,Negative
65,CSI Law College,Parassala,Thiruvananthapuram,Law Colleges,LLB,BA LLB,BBA LLB,Certificate in Law,Human Rights Law,Yes,B++,3.8,Small college with mission-based legal programs.,Neutral
66,"Indian Institute of Management (IIM), Kozhikode",Kozhikode,Kozhikode,Management & Business Schools,MBA,Executive MBA,PGP-Finance,PGP-LSM,Ph.D. in Management,Yes,A++,5,Elite B-school with global prestige and strong placement record.,Positive
67,Rajagiri Business School,Kochi,Ernakulam,Management & Business Schools,MBA,PGDM,MHRM,Ph.D.,BBA,Yes,A++,4.5,Excellent private B-school with strong industry connect.,Positive
68,SCMS School of Business,Aluva,Ernakulam,Management & Business Schools,MBA,PGDM,BBA,MIB,Executive MBA,Yes,A++,4.3,"High-rated management school, great for finance and marketing.",Positive
69,Amrita School of Business,Kochi,Ernakulam,Management & Business Schools,MBA,BBA,Executive MBA,Ph.D.,MS in Management,Yes,A+,4.4,"Part of the Amrita group, focuses on ethical leadership and research.",Positive
70,DC School of Management and Technology,Vagamon,Idukki,Management & Business Schools,MBA,BBA,M.Com,Executive MBA,PGDM,Yes,A+,4.2,Good mix of innovation and tradition; emerging placement partner.,Positive
71,Lead College of Management,Palakkad,Palakkad,Management & Business Schools,MBA,PGDM,BBA,MHRM,Executive MBA,Yes,A++,4,Rising B-school with focus on entrepreneurship.,Positive
72,Berchmans Institute of Management Studies,Changanassery,Kottayam,Management & Business Schools,MBA,BBA,M.Com,Executive MBA,PGDM,Yes,A,4.2,Known for academic discipline and Jesuit values.,Positive
73,Albertian Institute of Management,Ernakulam,Ernakulam,Management & Business Schools,MBA,BBA,PGDM,MHRM,Business Analytics,Yes,A,4.1,Small yet efficient program with good student support.,Positive
74,XIME Kochi,Kochi,Ernakulam,Management & Business Schools,PGDM,MBA,Business Analytics,HRM,Finance,Yes,B++,4.4,Industry-oriented and student-driven campus culture.,Positive
75,DCSMAT Business School,Trivandrum,Thiruvananthapuram,Management & Business Schools,MBA,PGDM,BBA,M.Com,Executive MBA,Yes,A,4.1,"Great faculty, strong rural and urban management themes.",Positive
76,Indian Institute of Space Science and Technology (IIST),Valiamala,Thiruvananthapuram,"Science, Research & Central Universities",B.Tech in Aerospace Engineering,B.Tech in Electronics & Communication,Dual Degree,M.Tech in Thermal Engineering,Ph.D.,Yes,A,5,India's premier institute for aerospace and space science studies.,Positive
77,Cochin University of Science and Technology (CUSAT),Kochi,Ernakulam,"Science, Research & Central Universities",B.Tech,M.Sc Physics,MBA,MCA,LLB,Yes,A,4.6,Leading institute for engineering and marine sciences.,Positive
78,Indian Institute of Science Education and Research (IISER),Vithura,Thiruvananthapuram,"Science, Research & Central Universities",BS-MS Dual Degree,Integrated Ph.D.,Ph.D.,Biology,Mathematics,Yes,A+,4.9,"Pure science-focused, research-driven education at its best.",Positive
79,Central University of Kerala,Kasaragod,Kasaragod,"Science, Research & Central Universities",MA English,MSc Physics,BA International Relations,MBA,Ph.D.,Yes,A++,4.3,National university with growing programs and pan-India intake.,Positive
80,Kerala Agricultural University,Thrissur,Thrissur,"Science, Research & Central Universities",B.Sc Agriculture,B.Tech Agricultural Engineering,M.Sc Horticulture,MBA Agribusiness,Ph.D.,Yes,A,4.4,Premier agri-tech institution with strong research.,Positive
81,Kerala Veterinary & Animal Sciences University,Pookode,Wayanad,"Science, Research & Central Universities",BVSc & AH,B.Sc Poultry Production,M.V.Sc,B.Tech Dairy Science,Ph.D.,Yes,B+,4.2,"Focused curriculum, supportive of animal welfare research.",Positive
82,Kerala University of Fisheries and Ocean Studies (KUFOS),Kochi,Ernakulam,"Science, Research & Central Universities",B.F.Sc,B.Tech Food Technology,M.F.Sc,MBA Fisheries Management,Ph.D.,Yes,A,4.1,One of a kind in fisheries and ocean studies in South India.,Positive
83,Mahatma Gandhi University,Kottayam,Kottayam,"Science, Research & Central Universities",B.A.,B.Sc.,B.Com.,M.A.,Ph.D. in multiple disciplines,Yes,A,4.5,"Consistent performance in arts, science, and teacher education.",Positive
84,University of Kerala,Thiruvananthapuram,Thiruvananthapuram,"Science, Research & Central Universities",B.Sc,B.A.,M.Sc,MBA,Ph.D.,Yes,A,4.6,"Prestigious and historic university, vast alumni network.",Positive
85,University of Calicut,Thenjipalam,Malappuram,"Science, Research & Central Universities",B.A.,B.Com.,B.Sc.,MBA,Ph.D.,Yes,A+,4.4,Strong academic programs and large student base.,Positive
86,St. Teresa’s College,Ernakulam,Ernakulam,Women’s Colleges,BA English,B.Sc Psychology,B.Com,M.Sc Apparel Design,MA Sociology,Yes,A+,4.7,One of Kerala’s best women’s colleges with cultural and academic balance.,Positive
87,Women’s College,Thiruvananthapuram,Thiruvananthapuram,Women’s Colleges,BA English,BA Economics,B.Sc Physics,MA English,M.Sc Zoology,Yes,A++,4.5,High-performing government institution for women.,Positive
88,Mercy College,Palakkad,Palakkad,Women’s Colleges,BA Economics,B.Com,B.Sc Chemistry,MA English,M.Com,Yes,A+,4.3,Known for discipline and academic consistency.,Positive
89,Little Flower College,Guruvayoor,Thrissur,Women’s Colleges,B.Sc Mathematics,BA English,B.Com,M.Sc Botany,MA History,Yes,A+,4.2,"Good academic results, especially in humanities.",Positive
90,Providence Women’s College,Kozhikode,Kozhikode,Women’s Colleges,BA History,B.Sc Physics,B.Com,M.A English,M.Sc Chemistry,Yes,B++,4.4,Strong social work and literature departments.,Positive
91,"Govt. Polytechnic College, Kalamassery",Kalamassery,Ernakulam,Polytechnic Colleges,Diploma in Civil,Mechanical,Electrical,Computer Engg.,Electronics,Yes,A,4.7,Top-tier polytechnic with excellent placement in engineering trades.,Positive
92,"Govt. Polytechnic College, Kozhikode",Kozhikode,Kozhikode,Polytechnic Colleges,Diploma in Computer Engg.,Civil Engg.,ECE,Electrical,IT,Yes,A,4.5,Reputed for mechanical and electrical programs.,Positive
93,GPTC Perinthalmanna,Perinthalmanna,Malappuram,Polytechnic Colleges,Diploma in Mechanical,Civil,Electrical,ECE,Computer Engg.,Yes,A++,4.2,"Serves rural students well, decent infrastructure.",Neutral
94,"Model Polytechnic College, Vadakara",Vadakara,Kozhikode,Polytechnic Colleges,Diploma in Biomedical Engg.,ECE,Computer Engg.,Electrical,Mechanical,Yes,A+,4.3,State-supported model college with modern labs.,Neutral
95,GPTC Kottarakkara,Kottarakkara,Kollam,Polytechnic Colleges,Diploma in Computer,Electrical,Civil,Mechanical,ECE,Yes,A++,4.1,Trusted for hands-on technical education.,Positive
96,RLV College of Music and Fine Arts,Tripunithura,Ernakulam,Fine Arts & Others,BA Music,BA Kathakali,BA Bharatanatyam,MFA,Diploma in Music,Yes,A+,4.6,Cultural gem for visual and performing arts.,Positive
97,Sree Sankaracharya University of Sanskrit,Kalady,Ernakulam,Fine Arts & Others,BA Sanskrit,MA Malayalam,MA Dance,M.Phil,Ph.D.,Yes,A+,4.4,Classical Sanskrit education blended with modern thought.,Positive
98,Swathi Thirunal College of Music,Thiruvananthapuram,Thiruvananthapuram,Fine Arts & Others,BA Music,MA Music,Certificate in Vocal,Veena,Violin,Yes,B+,4.5,"Iconic in Carnatic music, producing renowned artists.",Positive
99,Kerala Kalamandalam,Cheruthuruthy,Thrissur,Fine Arts & Others,BA Kathakali,BA Mohiniyattam,BA Kutiyattam,Diploma in Arts,MA Performing Arts,Yes,A,5,Internationally recognized center for Kathakali and Mohiniyattam.,Positive
100,College of Fine Arts,Thiruvananthapuram,Thiruvananthapuram,Fine Arts & Others,BFA Painting,BFA Sculpture,BFA Applied Art,MFA,Art History,Yes,A+,4.3,"Strong visual arts program, hub for creativity and expression.",Positive
